"REF_DATE","GEO","DGUID","Trip duration","Main trip purpose","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Total, all countries and regions","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335310","1.1.1.1","65796","A","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335321","1.1.2.1","21308","A","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335322","1.1.3.1","26929","A","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335323","1.1.4.1","1065","B","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335324","1.1.5.1","4209","A","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335325","1.1.6.1","4798","A","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335326","1.1.7.1","2211","B","","","0"
"2018-01","Total, all countries and regions","","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335327","1.1.8.1","5277","B","","","0"
"2018-01","Total, all countries and regions","","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335314","1.2.1.1","41676","A","","","0"
"2018-01","Total, all countries and regions","","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335349","1.2.2.1","11582","A","","","0"
"2018-01","Total, all countries and regions","","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335351","1.2.3.1","16971","A","","","0"
"2018-01","Total, all countries and regions","","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335353","1.2.4.1","683","B","","","0"
"2018-01","Total, all countries and regions","","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335355","1.2.5.1","3945","A","","","0"
"2018-01","Total, all countries and regions","","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335357","1.2.6.1","3805","B","","","0"
"2018-01","Total, all countries and regions","","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335359","1.2.7.1","985","C","","","0"
"2018-01","Total, all countries and regions","","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335361","1.2.8.1","3704","B","","","0"
"2018-01","Total, all countries and regions","","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335315","1.3.1.1","24120","A","","","0"
"2018-01","Total, all countries and regions","","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335350","1.3.2.1","9726","A","","","0"
"2018-01","Total, all countries and regions","","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335352","1.3.3.1","9958","A","","","0"
"2018-01","Total, all countries and regions","","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335354","1.3.4.1","382","B","","","0"
"2018-01","Total, all countries and regions","","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335356","1.3.5.1","263","B","","","0"
"2018-01","Total, all countries and regions","","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335358","1.3.6.1","993","B","","","0"
"2018-01","Total, all countries and regions","","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335360","1.3.7.1","1226","B","","","0"
"2018-01","Total, all countries and regions","","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335362","1.3.8.1","1573","B","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335311","2.1.1.1","56320","A","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335328","2.1.2.1","16015","A","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335331","2.1.3.1","25072","A","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335334","2.1.4.1","953","B","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335337","2.1.5.1","3250","A","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335340","2.1.6.1","4509","B","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335343","2.1.7.1","1819","B","","","0"
"2018-01","Canada","2016A000011124","Total, all trip durations","Other business","Number of trips","Number","223","thousands","3","v1064335346","2.1.8.1","4702","B","","","0"
"2018-01","Canada","2016A000011124","Same-day","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335316","2.2.1.1","39132","A","","","0"
"2018-01","Canada","2016A000011124","Same-day","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335363","2.2.2.1","10693","A","","","0"
"2018-01","Canada","2016A000011124","Same-day","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335368","2.2.3.1","16585","A","","","0"
"2018-01","Canada","2016A000011124","Same-day","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335373","2.2.4.1","641","B","","","0"
"2018-01","Canada","2016A000011124","Same-day","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335378","2.2.5.1","3076","A","","","0"
"2018-01","Canada","2016A000011124","Same-day","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335383","2.2.6.1","3685","B","","","0"
"2018-01","Canada","2016A000011124","Same-day","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335388","2.2.7.1","956","C","","","0"
"2018-01","Canada","2016A000011124","Same-day","Other business","Number of trips","Number","223","thousands","3","v1064335393","2.2.8.1","3495","B","","","0"
"2018-01","Canada","2016A000011124","Overnight","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335318","2.3.1.1","17188","A","","","0"
"2018-01","Canada","2016A000011124","Overnight","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335365","2.3.2.1","5322","A","","","0"
"2018-01","Canada","2016A000011124","Overnight","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335370","2.3.3.1","8486","A","","","0"
"2018-01","Canada","2016A000011124","Overnight","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335375","2.3.4.1","312","B","","","0"
"2018-01","Canada","2016A000011124","Overnight","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335380","2.3.5.1","174","C","","","0"
"2018-01","Canada","2016A000011124","Overnight","Other personal reasons","Number of trips","Number","223","thousands","3","v1064335385","2.3.6.1","824","B","","","0"
"2018-01","Canada","2016A000011124","Overnight","Business conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335390","2.3.7.1","863","B","","","0"
"2018-01","Canada","2016A000011124","Overnight","Other business","Number of trips","Number","223","thousands","3","v1064335395","2.3.8.1","1207","B","","","0"
"2018-01","United States","","Total, all trip durations","Total, all trip purposes","Number of trips","Number","223","thousands","3","v1064335312","3.1.1.1","6174","A","","","0"
"2018-01","United States","","Total, all trip durations","Holiday, leisure or recreation","Number of trips","Number","223","thousands","3","v1064335329","3.1.2.1","2977","A","","","0"
"2018-01","United States","","Total, all trip durations","Visit friends or relatives","Number of trips","Number","223","thousands","3","v1064335332","3.1.3.1","1179","B","","","0"
"2018-01","United States","","Total, all trip durations","Personal conference, convention or trade show","Number of trips","Number","223","thousands","3","v1064335335","3.1.4.1","103","C","","","0"
"2018-01","United States","","Total, all trip durations","Shopping, non-routine","Number of trips","Number","223","thousands","3","v1064335338","3.1.5.1","954","B","","","0"
