,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,YearBuilt,1stFlrSF,YearRemod/Add,GarageYrBlt,FullBath,TotRmsAbvGrd,Fireplaces,MasVnrArea,BsmtFinSF1,LotFrontage,WoodDeckSF,OpenPorchSF,HalfBath,BsmtFullBath,2ndFlrSF,LotArea,BsmtUnfSF,BedroomAbvGr,ScreenPorch,PoolArea,3SsnPorch,BsmtFinSF2,MiscVal,BsmtHalfBath,Order,YrSold,LowQualFinSF,OverallCond,KitchenAbvGr,EnclosedPorch
0,6,1656,2.0,528.0,1080.0,1960,1656,1960,1960.0,1,7,2,112.0,639.0,141.0,210,62,0,1.0,0,31770,441.0,3,0,0,0,0.0,0,0.0,1,2010,0,5,1,0
1,5,896,1.0,730.0,882.0,1961,896,1961,1961.0,1,5,0,0.0,468.0,80.0,140,0,0,0.0,0,11622,270.0,2,120,0,0,144.0,0,0.0,2,2010,0,6,1,0
2,6,1329,1.0,312.0,1329.0,1958,1329,1958,1958.0,1,6,0,108.0,923.0,81.0,393,36,1,0.0,0,14267,406.0,3,0,0,0,0.0,12500,0.0,3,2010,0,6,1,0
3,7,2110,2.0,522.0,2110.0,1968,2110,1968,1968.0,2,8,2,0.0,1065.0,93.0,0,0,1,1.0,0,11160,1045.0,3,0,0,0,0.0,0,0.0,4,2010,0,5,1,0
4,5,1629,2.0,482.0,928.0,1997,928,1998,1997.0,2,6,1,0.0,791.0,74.0,212,34,1,0.0,701,13830,137.0,3,0,0,0,0.0,0,0.0,5,2010,0,5,1,0
5,6,1604,2.0,470.0,926.0,1998,926,1998,1998.0,2,7,1,20.0,602.0,78.0,360,36,1,0.0,678,9978,324.0,3,0,0,0,0.0,0,0.0,6,2010,0,6,1,0
6,8,1338,2.0,582.0,1338.0,2001,1338,2001,2001.0,2,6,0,0.0,616.0,41.0,0,0,0,1.0,0,4920,722.0,2,0,0,0,0.0,0,0.0,7,2010,0,5,1,170
7,8,1280,2.0,506.0,1280.0,1992,1280,1992,1992.0,2,5,0,0.0,263.0,43.0,0,82,0,0.0,0,5005,1017.0,2,144,0,0,0.0,0,0.0,8,2010,0,5,1,0
8,8,1616,2.0,608.0,1595.0,1995,1616,1996,1995.0,2,5,1,0.0,1180.0,39.0,237,152,0,1.0,0,5389,415.0,2,0,0,0,0.0,0,0.0,9,2010,0,5,1,0
9,7,1804,2.0,442.0,994.0,1999,1028,1999,1999.0,2,7,1,0.0,0.0,60.0,140,60,1,0.0,776,7500,994.0,3,0,0,0,0.0,0,0.0,10,2010,0,5,1,0
10,6,1655,2.0,440.0,763.0,1993,763,1994,1993.0,2,7,1,0.0,0.0,75.0,157,84,1,0.0,892,10000,763.0,3,0,0,0,0.0,0,0.0,11,2010,0,5,1,0
11,6,1187,2.0,420.0,1168.0,1992,1187,2007,1992.0,2,6,0,0.0,935.0,0.0,483,21,0,1.0,0,7980,233.0,3,0,0,0,0.0,500,0.0,12,2010,0,7,1,0
12,6,1465,2.0,393.0,789.0,1998,789,1998,1998.0,2,7,1,0.0,0.0,63.0,0,75,1,0.0,676,8402,789.0,3,0,0,0,0.0,0,0.0,13,2010,0,5,1,0
13,7,1341,2.0,506.0,1300.0,1990,1341,1990,1990.0,1,5,1,0.0,637.0,85.0,192,0,1,1.0,0,10176,663.0,2,0,0,0,0.0,0,0.0,14,2010,0,5,1,0
14,8,1502,2.0,528.0,1488.0,1985,1502,1985,1985.0,1,4,0,0.0,368.0,0.0,0,54,1,1.0,0,6820,0.0,1,140,0,0,1120.0,0,0.0,15,2010,0,5,1,0
15,8,3279,3.0,841.0,1650.0,2003,1690,2003,2003.0,3,12,1,603.0,1416.0,47.0,503,36,1,1.0,1589,53504,234.0,4,210,0,0,0.0,0,0.0,16,2010,0,5,1,0
16,8,1752,2.0,492.0,559.0,1988,1080,2005,1988.0,2,8,0,0.0,427.0,152.0,325,12,0,0.0,672,12134,132.0,4,0,0,0,0.0,0,0.0,17,2010,0,7,1,0
17,9,1856,3.0,834.0,1856.0,2010,1856,2010,2010.0,1,8,1,350.0,1445.0,88.0,113,0,1,1.0,0,11394,411.0,1,0,0,0,0.0,0,0.0,18,2010,0,2,1,0
18,4,864,2.0,400.0,864.0,1951,864,1951,1951.0,1,4,0,0.0,120.0,140.0,0,0,0,0.0,0,19138,744.0,2,0,0,0,0.0,0,0.0,19,2010,0,5,1,0
19,6,2073,2.0,500.0,1542.0,1978,2073,1988,1978.0,2,7,2,119.0,790.0,85.0,349,0,0,1.0,0,13175,589.0,3,0,0,0,163.0,0,0.0,20,2010,0,6,1,0
20,6,1844,2.0,546.0,1844.0,1977,1844,1977,1977.0,2,7,1,480.0,705.0,105.0,0,122,0,0.0,0,11751,1139.0,3,0,0,0,0.0,0,0.0,21,2010,0,6,1,0
21,7,1173,2.0,528.0,1053.0,1974,1173,1974,1974.0,2,6,2,81.0,885.0,85.0,0,120,0,1.0,0,10625,0.0,3,0,0,0,168.0,0,0.0,22,2010,0,6,1,0
22,7,1674,2.0,663.0,814.0,2000,814,2000,2000.0,2,7,0,0.0,533.0,0.0,0,96,1,1.0,860,7500,281.0,3,0,0,0,0.0,0,0.0,23,2010,0,5,1,0
23,6,1004,2.0,480.0,1004.0,1970,1004,1970,1970.0,1,5,1,180.0,578.0,0.0,0,0,0,1.0,0,11241,426.0,2,0,0,0,0.0,700,0.0,24,2010,0,7,1,0
24,5,1078,2.0,500.0,1078.0,1971,1078,2008,1971.0,1,6,1,0.0,734.0,0.0,0,0,1,1.0,0,12537,344.0,3,0,0,0,0.0,0,0.0,25,2010,0,6,1,0
25,5,1056,1.0,304.0,1056.0,1968,1056,1968,1968.0,1,6,1,0.0,775.0,65.0,0,85,0,1.0,0,8450,281.0,3,0,0,0,0.0,0,0.0,26,2010,0,6,1,184
26,4,882,2.0,525.0,882.0,1970,882,1970,1970.0,1,4,0,0.0,804.0,70.0,240,0,0,1.0,0,8400,0.0,2,0,0,0,78.0,0,0.0,27,2010,0,5,1,0
27,4,864,0.0,0.0,864.0,1971,864,1971,0.0,1,5,1,0.0,432.0,70.0,0,0,0,0.0,0,10500,432.0,3,0,0,0,0.0,0,0.0,28,2010,0,5,1,0
28,7,1337,2.0,511.0,1405.0,1999,1337,1999,1999.0,2,5,1,0.0,1051.0,26.0,203,68,0,1.0,0,5858,354.0,2,0,0,0,0.0,0,0.0,29,2010,0,5,1,0
29,6,987,1.0,264.0,483.0,1971,483,1971,1971.0,1,5,0,504.0,156.0,21.0,275,0,1,0.0,504,1680,327.0,2,0,0,0,0.0,0,0.0,30,2010,0,5,1,0
30,5,1092,1.0,320.0,525.0,1971,525,1971,1997.0,1,6,0,492.0,300.0,21.0,0,0,1,0.0,567,1680,225.0,3,0,0,0,0.0,0,0.0,31,2010,0,5,1,0
31,6,1092,1.0,264.0,525.0,1971,525,1971,1971.0,1,6,0,381.0,0.0,21.0,0,0,1,0.0,567,1680,525.0,3,0,0,0,0.0,0,0.0,32,2010,0,5,1,0
32,6,1069,2.0,440.0,1069.0,1977,1069,1977,1977.0,2,4,1,0.0,360.0,53.0,0,55,0,0.0,0,4043,709.0,2,165,0,0,0.0,0,0.0,33,2010,0,5,1,0
33,6,1456,2.0,440.0,855.0,1975,855,1975,1975.0,2,6,1,0.0,514.0,24.0,173,0,1,0.0,601,2280,341.0,3,0,0,0,0.0,0,0.0,34,2010,0,6,1,0
34,7,836,1.0,308.0,836.0,1975,836,1975,1975.0,1,4,0,0.0,0.0,24.0,0,30,0,0.0,0,2280,836.0,2,0,0,0,0.0,0,0.0,35,2010,0,6,1,0
35,6,1456,2.0,440.0,855.0,1978,855,1978,1978.0,2,7,1,0.0,311.0,24.0,26,0,1,0.0,601,2280,544.0,3,0,0,0,0.0,0,0.0,36,2010,0,5,1,0
36,9,2334,3.0,751.0,1590.0,2009,1627,2010,2009.0,2,10,1,162.0,0.0,102.0,144,133,1,0.0,707,12858,1590.0,3,0,0,0,0.0,0,0.0,37,2010,0,5,1,0
37,8,1704,3.0,772.0,1704.0,2007,1704,2008,2008.0,2,7,1,200.0,1218.0,98.0,0,50,0,1.0,0,11478,486.0,3,0,0,0,0.0,0,0.0,38,2010,0,5,1,0
38,9,1940,3.0,606.0,1930.0,2009,1940,2010,2010.0,2,8,1,450.0,1646.0,83.0,168,95,1,1.0,0,10159,284.0,3,0,0,0,0.0,0,0.0,39,2010,0,5,1,0
39,8,1544,3.0,868.0,1544.0,2009,1544,2010,2009.0,2,7,0,256.0,0.0,94.0,0,35,0,0.0,0,12883,1544.0,3,0,0,0,0.0,0,0.0,40,2010,0,5,1,0
40,7,1541,2.0,532.0,1541.0,2005,1541,2005,2005.0,2,7,1,226.0,1201.0,95.0,0,70,0,0.0,0,12182,340.0,3,0,0,0,0.0,0,0.0,41,2010,0,5,1,0
41,9,1698,3.0,730.0,1698.0,2005,1698,2005,2005.0,2,7,1,615.0,110.0,90.0,192,74,0,0.0,0,11520,1588.0,3,0,0,0,0.0,0,0.0,42,2010,0,5,1,0
42,8,1822,3.0,678.0,1822.0,2005,1822,2006,2005.0,2,8,1,240.0,28.0,79.0,0,119,0,0.0,0,14122,1794.0,3,0,0,0,0.0,0,0.0,43,2010,0,5,1,0
43,7,1535,2.0,532.0,1517.0,2004,1535,2004,2004.0,2,7,0,168.0,2.0,70.0,0,0,0,0.0,0,10171,1515.0,3,0,0,0,0.0,0,0.0,44,2010,0,5,1,0
44,9,2364,3.0,820.0,2330.0,2009,2364,2010,2009.0,2,11,2,760.0,2188.0,100.0,0,67,1,1.0,0,12919,142.0,2,0,0,0,0.0,0,0.0,45,2010,0,5,1,0
45,7,1358,2.0,484.0,1358.0,2009,1358,2010,2010.0,2,6,1,128.0,733.0,44.0,192,35,0,1.0,0,6371,625.0,2,0,0,0,0.0,0,0.0,46,2010,0,5,1,0
46,9,2696,3.0,958.0,2846.0,2003,2696,2004,2003.0,2,10,2,1095.0,1373.0,110.0,220,150,1,1.0,0,14300,1473.0,3,0,0,0,0.0,0,0.0,47,2010,0,5,1,0
47,8,2250,3.0,756.0,1671.0,2002,1687,2002,2002.0,2,7,1,232.0,578.0,105.0,238,130,1,1.0,563,13650,1093.0,3,0,0,0,0.0,0,0.0,48,2010,0,5,1,0
48,9,1752,2.0,576.0,1752.0,2005,1752,2005,2005.0,2,6,1,412.0,456.0,61.0,196,82,0,1.0,0,7658,1296.0,2,0,0,0,0.0,0,0.0,49,2010,0,5,1,0
49,8,1370,2.0,484.0,1370.0,2006,1370,2006,2006.0,2,6,1,178.0,24.0,41.0,120,49,0,0.0,0,7132,1346.0,2,0,0,0,0.0,0,0.0,50,2010,0,5,1,0
