,Order,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,526301100,SC20,RL,141.0,31770,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3,4,3,4,639.0,1,0.0,441.0,1080.0,GasA,2,Y,SBrkr,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,8,2,4,Attchd,1960.0,Fin,2.0,528.0,3,3,1,210,62,0,0,0,0,0,No,No,0,May,2010,WD ,Normal,215000
1,2,526350040,SC20,RH,80.0,11622,2,None,4,Lvl,4,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,3,468.0,2,144.0,270.0,882.0,GasA,3,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1961.0,Unf,1.0,730.0,3,3,2,140,0,0,0,120,0,0,MnPrv,No,0,Jun,2010,WD ,Normal,105000
2,3,526351010,SC20,RL,81.0,14267,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,0,5,923.0,1,0.0,406.0,1329.0,GasA,3,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,8,0,0,Attchd,1958.0,Unf,1.0,312.0,3,3,2,393,36,0,0,0,0,0,No,Gar2,12500,Jun,2010,WD ,Normal,172000
3,4,526353030,SC20,RL,93.0,11160,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,3,3,0,5,1065.0,1,0.0,1045.0,2110.0,GasA,5,Y,SBrkr,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,8,2,3,Attchd,1968.0,Fin,2.0,522.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Apr,2010,WD ,Normal,244000
4,5,527105010,SC60,RL,74.0,13830,2,None,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,6,791.0,1,0.0,137.0,928.0,GasA,4,Y,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,8,1,3,Attchd,1997.0,Fin,2.0,482.0,3,3,2,212,34,0,0,0,0,0,MnPrv,No,0,Mar,2010,WD ,Normal,189900
5,6,527105030,SC60,RL,78.0,9978,2,None,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,0,6,602.0,1,0.0,324.0,926.0,GasA,5,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,8,1,4,Attchd,1998.0,Fin,2.0,470.0,3,3,2,360,36,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,195500
6,7,527127150,SC120,RL,41.0,4920,2,None,4,Lvl,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,616.0,1,0.0,722.0,1338.0,GasA,5,Y,SBrkr,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,8,0,0,Attchd,2001.0,Fin,2.0,582.0,3,3,2,0,0,170,0,0,0,0,No,No,0,Apr,2010,WD ,Normal,213500
7,8,527145080,SC120,RL,43.0,5005,2,None,3,HLS,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,0,5,263.0,1,0.0,1017.0,1280.0,GasA,5,Y,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,8,0,0,Attchd,1992.0,RFn,2.0,506.0,3,3,2,0,82,0,0,144,0,0,No,No,0,Jan,2010,WD ,Normal,191500
8,9,527146030,SC120,RL,39.0,5389,2,None,3,Lvl,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,0,6,1180.0,1,0.0,415.0,1595.0,GasA,5,Y,SBrkr,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,8,1,3,Attchd,1995.0,RFn,2.0,608.0,3,3,2,237,152,0,0,0,0,0,No,No,0,Mar,2010,WD ,Normal,236500
9,10,527162130,SC60,RL,60.0,7500,2,None,4,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0,1,0.0,1,0.0,994.0,994.0,GasA,4,Y,SBrkr,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,8,1,3,Attchd,1999.0,Fin,2.0,442.0,3,3,2,140,60,0,0,0,0,0,No,No,0,Jun,2010,WD ,Normal,189000
10,11,527163010,SC60,RL,75.0,10000,2,None,3,Lvl,4,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1993.0,Fin,2.0,440.0,3,3,2,157,84,0,0,0,0,0,No,No,0,Apr,2010,WD ,Normal,175900
11,12,527165230,SC20,RL,0.0,7980,2,None,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,0,5,935.0,1,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0,Attchd,1992.0,Fin,2.0,420.0,3,3,2,483,21,0,0,0,0,0,GdPrv,Shed,500,Mar,2010,WD ,Normal,185000
