,ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
0,10101016,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,,Yes,No,No,No,21 to 25 kilometers,No
1,10101204,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
2,10101215,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
3,10101219,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,Yes,NO,,Yes,No,No,Yes,,No
4,10101355,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,No,No,No,No,11 to 15 kilometers,No
5,10101374,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,,Yes,No,No,No,11 to 15 kilometers,No
6,10101470,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,Yes,No,0 to 5 kilometes,No
7,10101562,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,No,Yes,,No
8,10101568,GRADED GRAVELED,NO,No,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
9,10101706,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,No,No,6 to 10 kilometers,No
10,10102004,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,Above 30 kilometers,No
11,10102379,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,No,No,No,No,11 to 15 kilometers,No
12,10102621,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,16 to 20 kilometers,No
13,10103414,GRADED GRAVELED,NO,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
14,10103452,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,Yes,No,No,No,16 to 20 kilometers,No
15,10103681,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,16 to 20 kilometers,No
16,10104150,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,Yes,No,21 to 25 kilometers,No
17,10104351,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,No,No,No,No,11 to 15 kilometers,No
18,10104440,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
19,10105352,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
20,10105511,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,NO,,No,No,No,No,26 to 30 kilometers,No
21,10105513,GRADED GRAVELED,YES,No,No,No,No,No,NO,,Yes,No,No,No,0 to 5 kilometes,No
22,10120286,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
23,10120288,DIRT TRACK,NO,No,No,No,No,No,NO,3 to 5 kilometers,Yes,Yes,No,No,0 to 5 kilometes,No
24,10201137,TAR/ASPHALT,YES,Yes,No,No,Yes,No,NO,,Yes,No,Yes,No,0 to 5 kilometes,No
25,10201210,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
26,10201247,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
27,10201442,DIRT TRACK,NO,No,No,No,No,No,NO,,Yes,No,No,No,11 to 15 kilometers,No
28,10201688,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
29,10202195,DIRT TRACK,NO,No,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
30,10202514,DIRT TRACK,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
31,10203013,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,11 to 15 kilometers,No
32,10203085,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,Yes,No,No,No,6 to 10 kilometers,No
33,10203176,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
34,10203221,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,,Yes,No,No,No,6 to 10 kilometers,No
35,10203623,DIRT TRACK,NO,No,No,No,No,No,NO,5 and above kilometers,No,No,No,No,Above 30 kilometers,No
36,10203744,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,Yes,No,No,11 to 15 kilometers,No
37,10204101,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
38,10204322,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
39,10204453,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
40,10204586,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,Yes,No,Yes,Yes,,No
41,10204723,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,Yes,No,Yes,Yes,,No
42,10205202,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,21 to 25 kilometers,No
43,10205507,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,,Yes,No,No,No,11 to 15 kilometers,No
44,10220027,TAR/ASPHALT,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
45,10220103,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
46,10220521,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
47,10220705,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
48,10301026,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
49,10301306,TAR/ASPHALT,YES,Yes,No,No,No,No,YES,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
50,10301347,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,No,Yes,Yes,Yes,,No
51,10301663,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,Yes,Yes,No,6 to 10 kilometers,No
52,10301741,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
53,10302010,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
54,10303454,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
55,10304012,GRADED GRAVELED,NO,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
56,10304360,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
57,10304625,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
58,10305446,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,NO,Under 2 kilometers,No,No,Yes,Yes,,No
59,10306417,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
60,10306431,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
61,10307413,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
62,10308129,TAR/ASPHALT,YES,Yes,No,Yes,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
63,10308636,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
64,10309273,DIRT TRACK,NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,No,No,11 to 15 kilometers,No
65,10309281,DIRT ROAD (MAINTAINED),NO,Yes,No,No,No,Yes,NO,Under 2 kilometers,No,No,Yes,Yes,,No
66,10310469,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
67,10312048,TAR/ASPHALT,YES,Yes,No,Yes,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
68,10312078,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
69,10312187,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
