,hid,quintile,povline,tocon_nd,focon_nd,nfcon_nd,expcat1101,expcat1102,expcat1103,expcat1104,expcat1105,expcat1106,expcat1107,expcat1108,expcat1109,expcat1110,expcat1111,expcat1112
0,101010160009,3,37002.0,200747.9881591797,141336.5595703125,59411.42858886719,135096.55932617188,6240.0,,48600.0,4841.4285888671875,3250.0,,,,2000.0,,720.0
1,101010160033,3,37002.0,136924.03295898438,122722.60437011719,14201.428588867188,118042.60668945312,4680.0,,3020.0,5321.4285888671875,2600.0,,,,1100.0,,2160.0
2,101010160060,3,37002.0,300845.6729736328,262057.10131835938,38788.57165527344,262057.10119628906,,,19307.14306640625,8521.428588867188,,,3600.0,,3400.0,,3960.0
3,101010160068,2,37002.0,224653.3563232422,180441.927734375,44211.42858886719,178881.92651367188,,3000.0,7200.0,8981.428588867188,1300.0,18000.0,,,1650.0,1560.0,4080.0
4,101010160069,5,37002.0,85996.92224121094,64535.49365234375,21461.428588867188,61415.49346923828,,,9600.0,5041.4285888671875,1300.0,,,,,3120.0,5520.0
5,101010160070,3,37002.0,440339.2303466797,348474.943359375,91864.28698730469,333757.8409423828,3277.0986328125,4000.0,23642.8583984375,7721.4285888671875,,14400.0,20400.0,,7900.0,11440.0,13800.0
6,101010160074,2,37002.0,218156.97583007812,128886.1162109375,89270.85961914062,125766.11401367188,3120.0,9120.0,23371.4287109375,20607.142822265625,13910.0,13035.7138671875,,,2626.574462890625,,6600.0
7,101010160086,3,37002.0,417186.08850097656,327388.6599121094,89797.42858886719,318028.6574707031,,24800.0,1800.0,11101.428588867188,1300.0,12000.0,5760.0,,15300.0,9360.0,17736.0
8,101010160096,5,37002.0,457416.01696777344,417274.58837890625,40141.42858886719,417274.59423828125,,1200.0,24600.0,7321.4285888671875,5200.0,,,,620.0,,1200.0
9,101010160143,2,37002.0,141342.83557128906,125408.5498046875,15934.285766601562,115008.5498046875,7800.0,5120.0,4892.857177734375,2621.4285888671875,,,,,100.0,2600.0,3200.0
10,101010160159,1,37002.0,52994.27160644531,37589.98583984375,15404.285766601562,37589.98547363281,,1600.0,10642.857177734375,1721.4285888671875,,,,,,,1440.0
11,101010160180,3,37002.0,98553.74792480469,76910.890625,21642.857299804688,76910.89050292969,,,7171.4287109375,6671.4285888671875,,3600.0,,,,,4200.0
12,101010160207,3,37002.0,169725.4969482422,130189.7822265625,39535.71472167969,130189.78247070312,,,29214.2861328125,6521.4285888671875,,,,,2000.0,,1800.0
13,101010160235,4,37002.0,146812.5487060547,115019.69140625,31792.857299804688,112419.69140625,,1000.0,22471.4287109375,2561.4285888671875,,,,,,2600.0,5760.0
14,101010160254,2,37002.0,90073.58825683594,49762.15966796875,40311.42858886719,49762.16003417969,,3000.0,16000.0,3551.4285888671875,,,8040.0,,,,9720.0
15,101010160265,2,37002.0,41229.8505859375,30426.993408203125,10802.857177734375,30126.993408203125,,,7042.857177734375,2400.0,,400.0000138282776,,,,300.0,960.0
16,101012040003,1,37002.0,78028.60083007812,54315.74365234375,23712.857177734375,54315.74365234375,,4000.0,9410.0,5542.857177734375,,,,,800.0,,3960.0
17,101012040007,4,37002.0,101881.27844238281,87872.70703125,14008.571411132812,86312.70751953125,,,9407.142822265625,2321.4285888671875,,,,,,1560.0,2280.0
18,101012040011,2,37002.0,90189.46704101562,61706.60986328125,28482.857177734375,58106.60986328125,,1800.0,6100.0,3942.857177734375,,,14400.0,,440.0,3600.0,1800.0
19,101012040020,1,37002.0,80037.50329589844,56801.7890625,23235.714233398438,56801.789306640625,,,14114.28564453125,2921.4285888671875,,,,,560.0,,5640.0
20,101012040024,1,37002.0,92524.01940917969,69788.3046875,22735.714721679688,64588.3046875,,1400.0,13414.2861328125,2921.4285888671875,,,,,800.0,5200.0,4200.0
21,101012040028,3,37002.0,157224.23583984375,117784.23583984375,39440.0,115704.23681640625,,4800.0,12000.0,7200.0,,,9600.0,,,2080.0,5840.0
