,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,PCA1,PCA2,PCA3,FICA1,FICA2,FICA3,TSVD1,TSVD2,TSVD3,GRP1,GRP2,GRP3,SRP1,SRP2,SRP3
0,0,0,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.160322916034919,-0.9949713816319788,0,0,-2.8575261309985147,0.12663431949116152,0.99168422812373,-0.013972469354326838,0.009532177060793148,0.007372443302732157,0.2647101610094705,3.9071267320707137,-0.18012082332446364,-0.10672382161192101,-2.634892976951448,0.6569583845470979,-3.4678960224240662,-1.6200229910091464,6.205022542466926
1,1,0,0,0,0.06632741908223598,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,-0.1738756538019684,0,2,-0.5639808747037395,1.207261461966518,-0.0324101576904419,0.0019743974636402253,-0.0005553896386373876,0.01129998096199428,3.0480213945288805,2.186367501674914,-1.6006551150181303,1.8812556698149545,1.78698121644159,-1.1309403300971237,2.743193013902891,-1.127683513427338,-2.832832013970172
2,1,0,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9603993947048204,1,0,-2.9394402580020076,0.3796701447597238,0.13661506235082255,-0.004343192797391987,0.012102433963967768,0.008535519883150103,0.939698397696407,4.7675117316891065,-0.3672291996518994,0.40293779013483133,-2.4040426566252027,0.7370715683176392,-4.180138149374393,-0.8851531436046529,6.9929241199818915
3,1,0,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,-0.19540035830642516,0,2,0.5837312203485583,1.4919946200197889,1.560233606201434,-0.013289813455748761,-0.011990724610241815,0.013899691098449293,3.0326620463737237,-0.17143116661591423,-2.318073577914773,1.9471113683129244,-2.621164834079819,-2.2809323935602057,-2.9821353480400976,-3.36654920444903,2.577486902945198
4,0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080328,-0.9411927353008436,1,0,-3.239613644533575,-0.561188593934651,0.7176404315531637,-0.01279114321260195,0.014086657896947106,0.001757796249945144,-0.20834870264083996,4.192071864291916,0.8067203418190617,-0.5347575411507002,-2.1499018130112475,1.2787817201610958,-3.734499201087845,-0.9713692585272685,4.6513826847955135
5,0,0,0,0,-0.9924020376385532,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.645873789499697,1,0,-1.5103140530897423,-2.5816492936534434,-1.4342070171399788,0.008711654604928685,0.018806327035884127,-0.021483546827048415,2.4219497821365943,3.401554951358721,3.9368515900563925,-3.3820383981166953,-5.796955378216881,-0.11321214765703726,-11.538414724272636,3.306737156767851,11.03609141423624
6,1,0,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,-0.14742786303649225,0,1,-0.5980991058506322,-1.5756194987835186,0.678367145683361,-0.011071963600270018,0.004758034639549148,-0.011583941977931249,2.6304083823189797,1.7102426267592505,2.2288634710385997,-3.043149387434692,-4.596338138063752,-0.45077420491971215,-8.518033690444469,6.394227416130465,11.63761519648595
7,0,0,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,-0.8748524921871077,0,0,-3.0247258764165466,0.7231786918028728,0.4895854329517503,-0.007608008443772611,0.010376894983764283,0.012109307989839255,0.26008233985898027,4.29200250503163,-0.9540743334476628,0.8712967704840474,-1.648425868245015,-0.2844850304295009,-1.2827382034731418,-2.466257676612976,0.6851885951858259
8,0,0,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3367786435237642,1,2,0.8113871395640855,-1.9426511059066733,-1.4703906154026576,0.013159086522533388,0.006458790049312562,-0.02006486650771866,4.934382823741897,1.2833207050159912,3.018521419365487,-4.346482566001526,-4.8003782125754855,0.8465107094035855,-9.29418350141171,3.0007156360649945,9.876814261456927
9,1,0,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.2862176939475388,0.5318918111241627,0,4,1.9871217807936348,1.571885148772956,2.5687688240047803,-0.022316523955130497,-0.02208676281511444,0.01351059179161904,4.256886921104848,-1.8132285177639598,-2.562507317582301,1.222034524139959,-2.5485889494941043,-1.5599719702069486,-1.4008046996288375,2.746065430051976,5.8676317950636
